iter	Passed	Remaining
628	2336	1571
629	2340	1567
630	2343	1563
631	2347	1559
632	2350	1555
633	2354	1552
634	2357	1548
635	2361	1544
636	2365	1541
637	2369	1537
638	2373	1534
639	2377	1530
640	2381	1526
641	2384	1523
642	2388	1519
643	2392	1515
644	2396	1512
645	2400	1508
646	2403	1504
647	2407	1501
648	2412	1498
649	2417	1495
650	2421	1491
651	2428	1489
652	2431	1485
653	2435	1481
654	2438	1478
655	2442	1474
656	2446	1470
657	2449	1466
658	2453	1463
659	2457	1459
660	2460	1455
661	2464	1451
662	2468	1448
663	2471	1444
664	2475	1440
665	2479	1436
666	2482	1432
667	2486	1429
668	2490	1425
669	2493	1421
670	2497	1417
671	2500	1413
672	2504	1410
673	2507	1406
674	2511	1402
675	2515	1398
676	2519	1395
677	2522	1391
678	2526	1387
679	2529	1383
680	2533	1380
681	2537	1376
682	2541	1372
683	2544	1369
684	2548	1365
685	2551	1361
686	2555	1357
687	2559	1354
688	2563	1350
689	2566	1346
690	2570	1342
691	2574	1339
692	2578	1335
693	2582	1332
694	2585	1328
695	2589	1324
696	2593	1320
697	2597	1317
698	2601	1313
699	2605	1310
700	2609	1306
701	2613	1302
702	2618	1299
703	2622	1296
704	2626	1292
705	2629	1288
706	2633	1284
707	2636	1281
708	2640	1277
709	2643	1273
710	2647	1269
711	2650	1265
712	2654	1261
713	2657	1258
714	2661	1254
715	2665	1251
716	2669	1247
717	2672	1243
718	2676	1239
719	2680	1235
720	2683	1232
721	2687	1228
722	2690	1224
723	2694	1220
724	2697	1216
725	2701	1213
726	2704	1209
727	2708	1205
728	2711	1201
729	2715	1197
730	2719	1193
731	2722	1190
732	2726	1186
733	2730	1182
734	2733	1179
735	2737	1175
736	2740	1171
737	2744	1167
738	2747	1163
739	2751	1160
740	2755	1156
741	2759	1152
742	2762	1149
743	2766	1145
744	2770	1141
745	2774	1138
746	2778	1134
747	2781	1130
748	2785	1126
749	2789	1123
750	2793	1119
751	2797	1116
752	2801	1112
753	2805	1108
754	2809	1105
755	2813	1101
756	2817	1097
757	2820	1094
758	2824	1090
759	2829	1086
760	2833	1083
761	2836	1079
762	2840	1075
763	2844	1072
764	2848	1068
765	2851	1064
766	2855	1060
767	2858	1057
768	2862	1053
769	2865	1049
770	2869	1045
771	2873	1042
772	2876	1038
773	2880	1034
774	2883	1030
775	2887	1026
776	2890	1023
777	2894	1019
778	2897	1015
779	2901	1011
780	2904	1007
781	2908	1004
782	2912	1000
783	2915	996
784	2919	992
785	2923	989
786	2926	985
787	2930	981
788	2933	977
789	2937	974
790	2940	970
791	2944	966
792	2948	962
793	2952	959
794	2956	955
795	2959	951
796	2963	948
797	2967	944
798	2971	940
799	2975	937
800	2979	933
801	2982	929
802	2986	926
803	2990	922
804	2994	918
805	2998	915
806	3002	911
807	3006	908
808	3010	904
809	3013	900
810	3017	896
811	3021	893
812	3025	889
813	3029	885
814	3032	881
815	3035	878
816	3039	874
817	3043	870
818	3047	866
819	3050	863
820	3054	859
821	3058	855
822	3061	851
823	3065	848
824	3068	844
825	3072	840
826	3075	836
827	3079	833
828	3082	829
829	3086	825
830	3090	821
831	3093	818
832	3097	814
833	3100	810
834	3104	806
835	3108	803
836	3112	799
837	3115	795
838	3119	791
839	3123	788
840	3126	784
841	3130	780
842	3134	776
843	3137	773
844	3141	769
845	3144	765
846	3148	761
847	3152	758
848	3156	754
849	3159	750
850	3163	747
851	3167	743
852	3171	739
853	3175	736
854	3179	732
855	3183	728
856	3187	725
857	3190	721
858	3194	717
859	3198	714
860	3202	710
861	3206	706
862	3210	703
863	3215	699
864	3218	695
865	3222	692
866	3225	688
867	3229	684
868	3234	681
869	3238	677
870	3242	673
871	3245	669
872	3249	666
873	3253	662
874	3256	658
875	3260	655
876	3264	651
877	3267	647
878	3271	643
879	3274	640
880	3278	636
